velocity,efficiency
30.6213,62.69368747
30.62919866,62.50798166
30.68146689,62.31866812
30.73246187,61.9741185
30.78185351,61.62152105
30.82906722,61.26059049
30.8753699,60.89102785
30.91980401,60.51251973
30.96291371,60.12473736
31.00489967,59.72733563
31.04483144,59.31995215
31.08319833,58.90220603
31.11796221,59.19593883
31.1533913,59.49544483
31.18935485,59.80089594
31.25429231,60.11247095
31.2960097,60.43035588
31.29845786,60.75474437
31.32122375,61.08583807
31.35107391,61.42384706
31.37971739,61.76899026
31.40778562,61.59291072
31.43520502,61.41506152
31.46011706,61.23541588
31.4847602,61.05394642
31.51028227,60.87062523
31.53726522,60.68542383
31.56535786,60.49831313
31.59184916,60.30926346
31.61730836,60.11824453
31.64062709,59.92196918
31.6758602,59.7229294
31.71574214,59.52106636
31.71702742,59.31631955
31.72356187,59.10862675
31.73800602,58.89792391
31.7547913,58.68414511
31.77216722,58.46722251
31.78869231,58.24708625
31.80421304,58.03714307
31.81871839,57.82563316
31.8324311,57.6125389
31.84579365,57.39784243
31.85840167,57.18152561
31.87199398,56.96357003
31.88625452,56.74395698
31.89863144,56.52266751
31.9129602,56.29968233
31.93144381,56.1343634
31.93786455,55.96875605
31.93945184,55.80285954
31.94863244,55.6366731
31.95718696,55.47019597
31.96489866,55.30342739
31.97115552,55.13636659
31.97747726,54.96901281
31.98616823,54.80136527
31.99444181,54.94010081
32.00233712,55.0791292
32.0032,55.21845136
32.00508629,55.35806823
32.01243077,55.49798074
32.01809766,55.63818983
32.02274916,55.77869645
32.02721906,55.91950154
32.03555652,56.06060606
32.05091873,55.83773407
32.05577391,55.61108663
32.05723846,55.380567
32.06568462,55.14607506
32.07252074,54.90750727
32.07741706,54.66475642
32.08161104,54.41771153
32.08522977,54.16625763
32.08700468,53.91027563
32.0879689,53.66704991
32.08827492,53.42585721
32.09009799,53.18667219
32.09268261,52.94946985
32.09684448,52.71422566
32.10036957,52.48091546
32.10352508,52.24951551
32.10505518,52.02000243
32.10597659,51.79235325
32.10591538,51.8910031
32.10718294,51.99109391
32.10894582,52.09265747
32.11108796,52.19572654
32.11252375,52.30033484
32.11319699,52.40651709
32.11682508,52.51430911
32.12028261,52.62374779
32.12113946,52.73487112
32.12064916,53.50967443
32.11918027,54.27674041
32.11834783,55.03618439
32.11730435,55.78811942
32.11571304,56.5326563
32.11702475,57.26990369
32.11961873,57.99996812
32.12004716,58.72295406
32.12300903,59.43896397
32.12961906,57.83854606
32.13380702,56.23718785
32.1370087,54.6348885
32.13847759,53.03164718
32.14047525,51.42746306
32.14298462,49.82233532
32.14313946,48.21626311
32.14229365,46.6092456
32.13935585,45.00128196
32.12498395,39.89078355
32.10319532,34.80914171
13.02403612,29.75611272
0.040592308,24.73145559
-0.001638462,19.73493204
-0.026050836,14.76630645
-0.040095652,9.825345807
-0.016103679,4.911819707
0.002590635,0.025500283
0.014464214,0.081168494
0.012768562,0.142696517
-0.001280602,0.211060987
-0.059608027,0.287468336
-0.122458528,0.373426603
-0.189232107,0.470845972
-0.196296656,0.582182395
-0.197273579,0.710647497
-0.199415719,0.86052345
-0.200044816,
-0.1998,
